,school_state,resource_type,poverty_level,total_donations,funding_status,date_posted
363866,IL,Books,highest poverty,166,completed,2011-12-09 00:00:00
365804,CA,Technology,high poverty,491,completed,2011-12-13 00:00:00
411468,OH,Technology,highest poverty,0,expired,2012-04-22 00:00:00
799678,CA,Other,high poverty,12,expired,2015-01-25 00:00:00
472383,GA,Books,highest poverty,150,completed,2012-11-09 00:00:00
179798,NC,Supplies,highest poverty,165,completed,2010-01-01 00:00:00
664616,IN,Books,highest poverty,0,expired,2014-05-15 00:00:00
351143,SC,Technology,highest poverty,679,completed,2011-11-01 00:00:00
532691,VA,Books,high poverty,20,expired,2013-07-06 00:00:00
631836,NC,Books,high poverty,341,completed,2014-02-07 00:00:00
586635,IL,Books,high poverty,270,expired,2013-10-19 00:00:00
368164,ID,Books,highest poverty,388,completed,2011-12-20 00:00:00
650744,CA,Technology,moderate poverty,2668,completed,2014-03-26 00:00:00
306839,SD,Supplies,highest poverty,150,expired,2011-05-15 00:00:00
217640,DC,Books,high poverty,743,completed,2010-08-14 00:00:00
455076,IL,Technology,moderate poverty,598,completed,2012-10-03 00:00:00
779064,CA,Supplies,high poverty,0,expired,2014-11-28 00:00:00
710150,MI,Technology,moderate poverty,325,expired,2014-08-28 00:00:00
2861,NY,Books,moderate poverty,546,completed,2004-02-05 00:00:00
140658,AZ,Supplies,high poverty,315,completed,2009-06-07 00:00:00
302804,NY,Supplies,highest poverty,0,expired,2011-04-19 00:00:00
537491,CA,Technology,high poverty,570,completed,2013-07-25 00:00:00
553912,IL,Technology,highest poverty,277,completed,2013-08-30 00:00:00
458599,WA,Supplies,highest poverty,474,completed,2012-10-09 00:00:00
164104,UT,Technology,high poverty,551,completed,2009-10-03 00:00:00
368357,MO,Supplies,highest poverty,214,completed,2011-12-20 00:00:00
195436,IN,Supplies,high poverty,743,completed,2010-03-25 00:00:00
383848,CA,Technology,highest poverty,0,expired,2012-01-30 00:00:00
843929,OH,Books,highest poverty,860,completed,2015-05-16 00:00:00
514722,NJ,Other,moderate poverty,856,completed,2013-04-13 00:00:00
435536,NC,Books,highest poverty,293,completed,2012-08-22 00:00:00
575945,TX,Supplies,highest poverty,1079,completed,2013-10-03 00:00:00
402851,NC,Supplies,moderate poverty,20,expired,2012-03-15 00:00:00
641331,TX,Supplies,high poverty,226,expired,2014-03-05 00:00:00
292101,FL,Technology,moderate poverty,865,completed,2011-03-23 00:00:00
633489,OR,Books,highest poverty,503,completed,2014-02-10 00:00:00
132748,IN,Other,moderate poverty,25,expired,2009-04-20 00:00:00
805712,TX,Technology,high poverty,182,completed,2015-02-07 00:00:00
685418,FL,Supplies,high poverty,506,completed,2014-07-26 00:00:00
425828,AZ,Technology,high poverty,25,expired,2012-07-18 00:00:00
