Index,Season,League,Team,Entropy,X,Colour
0,2008/2009,England,Manchester United,0.8431260199666801,-0.2,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
1,2008/2009,England,Newcastle United,1.01477243325599,-0.2,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
2,2008/2009,England,Arsenal,0.9365218449525645,-0.2,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
3,2008/2009,England,West Bromwich Albion,0.9794429306383432,-0.2,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
4,2008/2009,England,Sunderland,1.0108725063920332,-0.2,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
5,2008/2009,England,Liverpool,0.9091477825040597,-0.2,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
6,2008/2009,England,West Ham,1.0141229881729437,-0.2,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
7,2008/2009,England,Wigan,1.0070915581683293,-0.2,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
8,2008/2009,England,Aston Villa,1.0131830802128807,-0.2,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
9,2008/2009,England,Manchester City,1.0285262784243856,-0.2,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
10,2008/2009,England,Everton,1.0191650644152872,-0.2,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
11,2008/2009,England,Blackburn,1.0184250330141265,-0.2,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
12,2008/2009,England,Middlesbrough,1.0160351747491931,-0.2,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
13,2008/2009,England,Tottenham,1.022447275386955,-0.2,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
14,2008/2009,England,Bolton,1.0099360634454384,-0.2,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
15,2008/2009,England,Stoke,0.9648599450931176,-0.2,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
16,2008/2009,England,Hull,0.9922002257410022,-0.2,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
17,2008/2009,England,Fulham,1.0125111541066627,-0.2,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
18,2008/2009,England,Chelsea,0.8715285723049673,-0.2,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
19,2008/2009,England,Portsmouth,1.0238773921735511,-0.2,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
20,2008/2009,France,Auxerre,1.0441999527767174,-0.1,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
21,2008/2009,France,Nantes,1.0323066273408434,-0.1,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
22,2008/2009,France,Bordeaux,0.9956305383097596,-0.1,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
23,2008/2009,France,Caen,1.0421672012701446,-0.1,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
24,2008/2009,France,Le Havre,1.0005928753601347,-0.1,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
25,2008/2009,France,Nice,1.048941462245034,-0.1,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
26,2008/2009,France,Le Mans,1.0405549579466502,-0.1,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
27,2008/2009,France,Lorient,1.040709825526596,-0.1,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
28,2008/2009,France,Lyon,0.946516718298761,-0.1,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
29,2008/2009,France,Toulouse,1.0446382089689312,-0.1,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
