token,total_count,ratio
00,67.0,1.4814814814814814
000,11.0,1.2
00a,3.0,0.5
00am,7.0,0.75
00pm,7.0,2.5
01,5.0,1.5
02,3.0,0.5
03,3.0,0.5
03342,3.0,0.5
04,3.0,2.0
05,4.0,3.0
06,3.0,2.0
07,10.0,1.5
09,6.0,2.0
0buxoc0crqjpvkezo3bqog,4.0,0.3333333333333333
0l,3.0,0.5
10,209.0,1.8630136986301369
100,53.0,1.65
1000,6.0,2.0
1000x,3.0,0.5
1001,3.0,2.0
100th,4.0,3.0
101,13.0,1.1666666666666667
102,3.0,2.0
105,4.0,3.0
1070,4.0,0.3333333333333333
108,3.0,2.0
10am,5.0,4.0
10ish,3.0,0.5
10min,5.0,4.0
10mins,3.0,0.5
10minutes,3.0,0.5
10pm,4.0,3.0
10th,6.0,2.0
10x,3.0,2.0
11,46.0,2.066666666666667
110,6.0,2.0
1100,3.0,2.0
111,3.0,0.5
111th,4.0,3.0
112,3.0,2.0
115th,3.0,0.5
118,3.0,0.5
11a,3.0,2.0
11am,11.0,1.2
11p,3.0,2.0
11pm,5.0,4.0
12,85.0,1.5
120,9.0,0.8
128i,3.0,2.0
129,3.0,0.5
12am,4.0,3.0
12oz,5.0,1.5
12pm,4.0,3.0
12th,3.0,2.0
13,30.0,3.2857142857142856
14,26.0,2.25
140,9.0,0.2857142857142857
147,4.0,0.3333333333333333
14lbs,3.0,0.5
15,108.0,1.25
150,12.0,2.0
1500,3.0,2.0
150mm,3.0,2.0
15am,3.0,2.0
15mins,3.0,0.5
15pm,3.0,2.0
15th,3.0,0.5
16,26.0,4.2
160,7.0,2.5
165,3.0,0.5
169,3.0,2.0
16th,4.0,1.0
17,20.0,4.0
17p,3.0,0.5
18,36.0,2.272727272727273
180,5.0,0.6666666666666666
18th,3.0,0.5
19,10.0,2.3333333333333335
1900,4.0,3.0
1913,3.0,2.0
1928,3.0,2.0
1929,3.0,2.0
1930s,3.0,2.0
1940,3.0,2.0
1952,3.0,0.5
1955,3.0,0.5
1956,3.0,2.0
1960,3.0,2.0
1961,3.0,2.0
1969,3.0,2.0
1970,3.0,0.5
1980,5.0,1.5
1980s,3.0,0.5
1987,3.0,0.5
1990s,3.0,2.0
1992,3.0,0.5
1995,3.0,0.5
1996,4.0,1.0
1998,4.0,3.0
1999,4.0,3.0
19th,4.0,3.0
1cent,3.0,2.0
1k,3.0,0.5
1p,3.0,2.0
1pm,4.0,3.0
1st,16.0,1.0
20,135.0,1.25
200,16.0,3.0
2002,4.0,3.0
2003,4.0,3.0
2004,3.0,2.0
2005,4.0,3.0
2006,5.0,1.5
2007,3.0,2.0
2008,6.0,2.0
2009,6.0,2.0
200lbs,3.0,2.0
2010,12.0,3.0
2011,6.0,1.0
2012,10.0,4.0
202,3.0,2.0
20mbs,3.0,0.5
20miles,3.0,0.5
20min,4.0,3.0
20pm,3.0,2.0
20s,3.0,2.0
20th,5.0,1.5
20x,3.0,2.0
21,18.0,0.5
22,8.0,1.6666666666666667
220,3.0,2.0
2240,3.0,2.0
22oz,3.0,2.0
23,8.0,7.0
24,20.0,1.2222222222222223
24hrs,3.0,2.0
24st,3.0,2.0
24th,6.0,1.0
25,55.0,2.4375
250,6.0,1.0
25b,3.0,2.0
25min,3.0,0.5
25th,3.0,2.0
26,7.0,1.3333333333333333
260,3.0,0.5
2600,3.0,2.0
2608,3.0,2.0
2669,3.0,2.0
26th,5.0,1.5
27,3.0,2.0
272,3.0,0.5
28,6.0,1.0
29,6.0,1.0
29th,3.0,2.0
2am,9.0,8.0
2mbps,3.0,0.5
2nd,16.0,1.6666666666666667
2pm,7.0,1.3333333333333333
2rd,3.0,2.0
2wice,3.0,2.0
2x,3.0,2.0
30,104.0,1.3636363636363635
300,6.0,1.0
3000,3.0,0.5
30am,5.0,1.5
30p,4.0,1.0
30pm,8.0,1.0
30th,4.0,0.3333333333333333
31,3.0,2.0
311,3.0,2.0
312,3.0,2.0
32,14.0,3.6666666666666665
33,3.0,0.5
33rd,5.0,1.5
34,5.0,0.6666666666666666
34th,3.0,2.0
35,14.0,0.75
350ib,3.0,2.0
35c,3.0,2.0
35th,5.0,4.0
36,3.0,0.5
37,3.0,2.0
370,3.0,2.0
38,4.0,3.0
38th,3.0,2.0
39,4.0,1.0
3am,7.0,2.5
3d,3.0,2.0
3g,4.0,3.0
3k,3.0,0.5
3lbs,3.0,0.5
3n9u549zse8up,5.0,4.0
3p,4.0,3.0
3pm,7.0,2.5
3rd,13.0,1.1666666666666667
3x,4.0,1.0
40,52.0,0.7931034482758621
400,6.0,2.0
4000,3.0,2.0
40lm,3.0,0.5
40min,3.0,2.0
40th,3.0,2.0
41,3.0,2.0
411,3.0,0.5
4113416766,3.0,2.0
42,4.0,3.0
420,3.0,2.0
43,5.0,1.5
44,3.0,0.5
4458,3.0,2.0
44th,4.0,3.0
45,32.0,0.8823529411764706
453990,3.0,2.0
45min,5.0,1.5
45pm,3.0,2.0
46,3.0,0.5
475,3.0,2.0
48,4.0,0.3333333333333333
480,4.0,3.0
48th,5.0,4.0
49,10.0,1.5
490,3.0,2.0
4b,3.0,2.0
4hr,3.0,0.5
4pm,10.0,4.0
4th,8.0,7.0
50,90.0,3.736842105263158
500,13.0,5.5
50cents,3.0,2.0
50lm,3.0,0.5
50s,3.0,2.0
51,5.0,1.5
51pm,3.0,0.5
52,3.0,2.0
5231,3.0,2.0
53,5.0,4.0
53pm,3.0,0.5
54,5.0,0.6666666666666666
55,8.0,3.0
56,4.0,1.0
57,3.0,2.0
59,3.0,2.0
59th,3.0,0.5
5k,3.0,2.0
5min,3.0,0.5
5p,3.0,2.0
5pm,5.0,1.5
5stars,3.0,2.0
5th,14.0,6.0
60,22.0,1.75
600,4.0,0.3333333333333333
602,3.0,2.0
61,3.0,2.0
61st,3.0,2.0
62010,3.0,2.0
623,5.0,4.0
63,3.0,2.0
64,4.0,1.0
64th,4.0,3.0
65,11.0,1.2
66,3.0,2.0
67,3.0,2.0
68,4.0,1.0
680,3.0,2.0
69,4.0,1.0
6am,3.0,2.0
6p,3.0,2.0
6pm,12.0,3.0
6th,3.0,2.0
70,12.0,3.0
700,4.0,1.0
70s,6.0,2.0
70th,3.0,2.0
71,4.0,3.0
71st,3.0,2.0
75,14.0,13.0
750,3.0,2.0
755891987,3.0,0.5
76,3.0,2.0
79,3.0,0.5
7am,6.0,5.0
7pm,6.0,1.0
7th,10.0,1.5
80,17.0,1.4285714285714286
800,4.0,1.0
8000hp,3.0,2.0
80s,7.0,0.75
81,3.0,2.0
83,3.0,2.0
832,3.0,0.5
83rd,3.0,2.0
85,6.0,5.0
85154658,3.0,2.0
86,3.0,2.0
88,8.0,7.0
89,3.0,2.0
8am,5.0,0.25
8pm,7.0,2.5
8th,5.0,4.0
8v,3.0,0.5
8yo,3.0,2.0
